kategori,input_user,prep_input,prep_stopword
Greeting,Saya merasa sangat baik,"['saya', 'rasa', 'sangat', 'baik']","['rasa', 'sangat', 'baik']"
Greeting,Saya sehatsehat saja,"['saya', 'sehatsehat', 'saja']",['sehatsehat']
Greeting,Saya merasa baikbaik saja terima kasih,"['saya', 'rasa', 'baikbaik', 'saja', 'terima', 'kasih']","['rasa', 'baikbaik', 'terima', 'kasih']"
Greeting,Alhamdulillah kabar saya baik,"['alhamdulillah', 'kabar', 'saya', 'baik']","['alhamdulillah', 'kabar', 'baik']"
Greeting,Kabar saya cukup baik,"['kabar', 'saya', 'cukup', 'baik']","['kabar', 'cukup', 'baik']"
Greeting,Saya dalam keadaan baik,"['saya', 'dalam', 'ada', 'baik']","['dalam', 'baik']"
Greeting,Saya merasa baik dan sehat,"['saya', 'rasa', 'baik', 'dan', 'sehat']","['rasa', 'baik', 'sehat']"
Greeting,sehat,['sehat'],['sehat']
Greeting,sangat sehat,"['sangat', 'sehat']","['sangat', 'sehat']"
Greeting,aku merasa sehat,"['aku', 'rasa', 'sehat']","['aku', 'rasa', 'sehat']"
Greeting,Saya merasa sangat sehat,"['saya', 'rasa', 'sangat', 'sehat']","['rasa', 'sangat', 'sehat']"
Greeting,Alhamdulillah saya dalam keadaan sehat,"['alhamdulillah', 'saya', 'dalam', 'ada', 'sehat']","['alhamdulillah', 'dalam', 'sehat']"
Greeting,Kabar saya baikbaik saja dan kesehatan saya juga baikbaik saja,"['kabar', 'saya', 'baikbaik', 'saja', 'dan', 'sehat', 'saya', 'juga', 'baikbaik', 'saja']","['kabar', 'baikbaik', 'dan', 'sehat', 'juga', 'baikbaik']"
Greeting,Saya dalam kondisi sehat,"['saya', 'dalam', 'kondisi', 'sehat']","['dalam', 'kondisi', 'sehat']"
Greeting,Saya merasa sehat dan bugar,"['saya', 'rasa', 'sehat', 'dan', 'bugar']","['rasa', 'sehat', 'bugar']"
Greeting,Kondisi kesehatan saya cukup baik,"['kondisi', 'sehat', 'saya', 'cukup', 'baik']","['kondisi', 'sehat', 'cukup', 'baik']"
Greeting,Saya merasa sehat dan kuat,"['saya', 'rasa', 'sehat', 'dan', 'kuat']","['rasa', 'sehat', 'kuat']"
Greeting,Lagi okeoke saja ini kakak,"['lagi', 'okeoke', 'saja', 'ini', 'kakak']","['okeoke', 'ini', 'kakak']"
Greeting,tidak enak badan,"['tidak', 'enak', 'badan']","['enak', 'badan']"
Greeting,kurang enak badan,"['kurang', 'enak', 'badan']","['kurang', 'enak', 'badan']"
Greeting,sakit,['sakit'],['sakit']
Greeting,tidak sehat,"['tidak', 'sehat']",['sehat']
Greeting,aku sedang tidak sehat,"['aku', 'sedang', 'tidak', 'sehat']","['aku', 'sedang', 'sehat']"
Greeting,aku kurang sehat,"['aku', 'kurang', 'sehat']","['aku', 'kurang', 'sehat']"
Greeting,tidak baik,"['tidak', 'baik']",['baik']
Greeting,tidak enak badan,"['tidak', 'enak', 'badan']","['enak', 'badan']"
Greeting,kurang baik,"['kurang', 'baik']","['kurang', 'baik']"
Greeting,saya baik saja,"['saya', 'baik', 'saja']",['baik']
Greeting,saya tidak papa,"['saya', 'tidak', 'papa']","['tidak', 'papa']"
Greeting,tidak papa sih saya,"['tidak', 'papa', 'sih', 'saya']","['papa', 'sih']"
Greeting,tidak kenapakenapa,"['tidak', 'kenapakenapa']",['kenapakenapa']
Greeting,Baik dan terima kasih,"['baik', 'dan', 'terima', 'kasih']","['baik', 'terima', 'kasih']"
Greeting,Saya dalam keadaan baikbaik saja terima kasih,"['saya', 'dalam', 'ada', 'baikbaik', 'saja', 'terima', 'kasih']","['dalam', 'baikbaik', 'terima', 'kasih']"
Greeting,Saya merasa sangat baik dan sehat,"['saya', 'rasa', 'sangat', 'baik', 'dan', 'sehat']","['rasa', 'sangat', 'baik', 'sehat']"
Greeting,Saya dalam kondisi yang baik,"['saya', 'dalam', 'kondisi', 'yang', 'baik']","['dalam', 'kondisi', 'baik']"
Greeting,Kabar saya baik dan kesehatan saya prima,"['kabar', 'saya', 'baik', 'dan', 'sehat', 'saya', 'prima']","['kabar', 'baik', 'sehat', 'prima']"
Greeting,Saya dalam keadaan sehat dan bugar,"['saya', 'dalam', 'ada', 'sehat', 'dan', 'bugar']","['dalam', 'sehat', 'bugar']"
Greeting,Alhamdulillah saya baikbaik saja dan sehat,"['alhamdulillah', 'saya', 'baikbaik', 'saja', 'dan', 'sehat']","['alhamdulillah', 'baikbaik', 'dan', 'sehat']"
Greeting,Saya merasa sehat dan bugar terima kasih,"['saya', 'rasa', 'sehat', 'dan', 'bugar', 'terima', 'kasih']","['rasa', 'sehat', 'bugar', 'terima', 'kasih']"
Greeting,Saya dalam keadaan yang baik dan sehat,"['saya', 'dalam', 'ada', 'yang', 'baik', 'dan', 'sehat']","['dalam', 'yang', 'baik', 'sehat']"
Greeting,Kabar saya baikbaik saja dan kesehatan saya juga baikbaik saja,"['kabar', 'saya', 'baikbaik', 'saja', 'dan', 'sehat', 'saya', 'juga', 'baikbaik', 'saja']","['kabar', 'baikbaik', 'dan', 'sehat', 'juga', 'baikbaik']"
Greeting,Saya sedang dalam keadaan yang baik dan sehat,"['saya', 'sedang', 'dalam', 'ada', 'yang', 'baik', 'dan', 'sehat']","['sedang', 'ada', 'baik', 'sehat']"
Greeting,Kesehatan saya cukup baik dan saya merasa baik,"['sehat', 'saya', 'cukup', 'baik', 'dan', 'saya', 'rasa', 'baik']","['sehat', 'cukup', 'baik', 'saya', 'rasa', 'baik']"
Greeting,Saya merasa sehat dan bugar saat ini,"['saya', 'rasa', 'sehat', 'dan', 'bugar', 'saat', 'ini']","['rasa', 'sehat', 'bugar', 'ini']"
Greeting,Kabar saya baik dan kesehatan saya terjaga,"['kabar', 'saya', 'baik', 'dan', 'sehat', 'saya', 'jaga']","['kabar', 'baik', 'sehat', 'jaga']"
Greeting,Saya dalam keadaan baikbaik saja dan sehat walafiat,"['saya', 'dalam', 'ada', 'baikbaik', 'saja', 'dan', 'sehat', 'walafiat']","['dalam', 'baikbaik', 'dan', 'sehat', 'walafiat']"
Greeting,Saya merasa sangat sehat dan bugar,"['saya', 'rasa', 'sangat', 'sehat', 'dan', 'bugar']","['rasa', 'sangat', 'sehat', 'bugar']"
Greeting,Alhamdulillah saya sehat dan dalam keadaan yang baik,"['alhamdulillah', 'saya', 'sehat', 'dan', 'dalam', 'ada', 'yang', 'baik']","['alhamdulillah', 'sehat', 'dalam', 'yang', 'baik']"
Greeting,Kabar saya baikbaik saja dan kesehatan saya juga prima,"['kabar', 'saya', 'baikbaik', 'saja', 'dan', 'sehat', 'saya', 'juga', 'prima']","['kabar', 'baikbaik', 'dan', 'sehat', 'juga', 'prima']"
Greeting,Saya dalam kondisi yang sehat dan baik,"['saya', 'dalam', 'kondisi', 'yang', 'sehat', 'dan', 'baik']","['dalam', 'kondisi', 'sehat', 'baik']"
Greeting,Saya merasa baikbaik saja dan sehat walafiat terima kasih,"['saya', 'rasa', 'baikbaik', 'saja', 'dan', 'sehat', 'walafiat', 'terima', 'kasih']","['rasa', 'baikbaik', 'dan', 'sehat', 'walafiat', 'terima', 'kasih']"
Greeting,Saya sedang okeoke saja kakak,"['saya', 'sedang', 'okeoke', 'saja', 'kakak']","['sedang', 'okeoke', 'kakak']"
Greeting,Saya merasa tidak enak badan,"['saya', 'rasa', 'tidak', 'enak', 'badan']","['rasa', 'enak', 'badan']"
Greeting,Kondisi kesehatan saya kurang baik saat ini,"['kondisi', 'sehat', 'saya', 'kurang', 'baik', 'saat', 'ini']","['kondisi', 'sehat', 'kurang', 'baik', 'ini']"
Greeting,Saya merasa sedikit sakit,"['saya', 'rasa', 'sedikit', 'sakit']","['rasa', 'sedikit', 'sakit']"
Greeting,Saya tidak dalam kondisi yang sehat,"['saya', 'tidak', 'dalam', 'kondisi', 'yang', 'sehat']","['tidak', 'kondisi', 'sehat']"
Greeting,Aku merasa tidak sehat saat ini,"['aku', 'rasa', 'tidak', 'sehat', 'saat', 'ini']","['aku', 'rasa', 'sehat', 'ini']"
Greeting,Aku kurang sehat dan tidak enak badan,"['aku', 'kurang', 'sehat', 'dan', 'tidak', 'enak', 'badan']","['aku', 'kurang', 'sehat', 'tidak', 'enak', 'badan']"
Greeting,Kondisi saya tidak baik,"['kondisi', 'saya', 'tidak', 'baik']","['kondisi', 'tidak', 'baik']"
Greeting,Saya sedang tidak enak badan,"['saya', 'sedang', 'tidak', 'enak', 'badan']","['sedang', 'enak', 'badan']"
Greeting,Kondisi saya kurang baik,"['kondisi', 'saya', 'kurang', 'baik']","['kondisi', 'kurang', 'baik']"
Greeting,Saya sedang merasa kurang enak badan,"['saya', 'sedang', 'rasa', 'kurang', 'enak', 'badan']","['sedang', 'rasa', 'kurang', 'enak', 'badan']"
Greeting,Aku sedang sakit dan merasa tidak sehat,"['aku', 'sedang', 'sakit', 'dan', 'rasa', 'tidak', 'sehat']","['aku', 'sedang', 'sakit', 'rasa', 'sehat']"
Greeting,Saya sedang tidak baikbaik saja,"['saya', 'sedang', 'tidak', 'baikbaik', 'saja']","['sedang', 'baikbaik']"
Greeting,Kondisi kesehatan saya sedang tidak enak,"['kondisi', 'sehat', 'saya', 'sedang', 'tidak', 'enak']","['kondisi', 'sehat', 'sedang', 'enak']"
Greeting,Saya sedang merasa kurang baik,"['saya', 'sedang', 'rasa', 'kurang', 'baik']","['sedang', 'rasa', 'kurang', 'baik']"
Greeting,Saya sedang tidak enak badan dan kurang sehat,"['saya', 'sedang', 'tidak', 'enak', 'badan', 'dan', 'kurang', 'sehat']","['sedang', 'enak', 'badan', 'kurang', 'sehat']"
Greeting,Aku sedang tidak sehat dan kurang baik,"['aku', 'sedang', 'tidak', 'sehat', 'dan', 'kurang', 'baik']","['aku', 'sedang', 'sehat', 'kurang', 'baik']"
Greeting,Saya merasa tidak enak badan dan kurang baik,"['saya', 'rasa', 'tidak', 'enak', 'badan', 'dan', 'kurang', 'baik']","['rasa', 'enak', 'badan', 'kurang', 'baik']"
Greeting,Aku sedang kurang enak badan,"['aku', 'sedang', 'kurang', 'enak', 'badan']","['aku', 'sedang', 'kurang', 'enak', 'badan']"
Greeting,Kondisi saya sedang tidak baik,"['kondisi', 'saya', 'sedang', 'tidak', 'baik']","['kondisi', 'sedang', 'baik']"
Greeting,tidak enak badan,"['tidak', 'enak', 'badan']","['enak', 'badan']"
Greeting,kurang enak badan,"['kurang', 'enak', 'badan']","['kurang', 'enak', 'badan']"
Greeting,saya kurang enak badan,"['saya', 'kurang', 'enak', 'badan']","['kurang', 'enak', 'badan']"
Greeting,aku merasa tidak enak badan,"['aku', 'rasa', 'tidak', 'enak', 'badan']","['aku', 'rasa', 'enak', 'badan']"
Greeting,badan ku kurang enak,"['badan', 'ku', 'kurang', 'enak']","['badan', 'ku', 'kurang', 'enak']"
Greeting,badan ku terasa tidak enak,"['badan', 'ku', 'asa', 'tidak', 'enak']","['badan', 'ku', 'asa', 'enak']"
Greeting,merasakan kurang enak badan,"['rasa', 'kurang', 'enak', 'badan']","['rasa', 'kurang', 'enak', 'badan']"
Greeting,saya tidak enak badan,"['saya', 'tidak', 'enak', 'badan']","['tidak', 'enak', 'badan']"
Greeting,sakit,['sakit'],['sakit']
Greeting,aku sakit,"['aku', 'sakit']","['aku', 'sakit']"
Greeting,aku merasakan sakit,"['aku', 'rasa', 'sakit']","['aku', 'rasa', 'sakit']"
Greeting,saya sakit,"['saya', 'sakit']",['sakit']
Greeting,tidak sehat,"['tidak', 'sehat']",['sehat']
Greeting,aku sedang tidak sehat,"['aku', 'sedang', 'tidak', 'sehat']","['aku', 'sedang', 'sehat']"
Greeting,aku terasa tidak sehat,"['aku', 'asa', 'tidak', 'sehat']","['aku', 'asa', 'sehat']"
Greeting,tidak merasa sehat saat ini,"['tidak', 'rasa', 'sehat', 'saat', 'ini']","['rasa', 'sehat', 'ini']"
Greeting,saya terasa kurang baik,"['saya', 'asa', 'kurang', 'baik']","['asa', 'kurang', 'baik']"
Greeting,badanku terasa tidak enak,"['badan', 'asa', 'tidak', 'enak']","['badan', 'asa', 'enak']"
Greeting,lagi tidak enak badan,"['lagi', 'tidak', 'enak', 'badan']","['tidak', 'enak', 'badan']"
Greeting,tidak enak badan untuk saat ini,"['tidak', 'enak', 'badan', 'untuk', 'saat', 'ini']","['enak', 'badan', 'saat']"
Greeting,aku kurang sehat,"['aku', 'kurang', 'sehat']","['aku', 'kurang', 'sehat']"
Greeting,tidak baik,"['tidak', 'baik']",['baik']
Greeting,tidak enak badan,"['tidak', 'enak', 'badan']","['enak', 'badan']"
Greeting,kurang baik,"['kurang', 'baik']","['kurang', 'baik']"
Greeting,aku kurang baik,"['aku', 'kurang', 'baik']","['aku', 'kurang', 'baik']"
Greeting,kurang baik dan tidak enak badan,"['kurang', 'baik', 'dan', 'tidak', 'enak', 'badan']","['kurang', 'baik', 'tidak', 'enak', 'badan']"
Greeting,badan ku terasa sakit,"['badan', 'ku', 'asa', 'sakit']","['badan', 'ku', 'asa', 'sakit']"
Greeting,aku kurang sehat akhirakhir ini,"['aku', 'kurang', 'sehat', 'akhirakhir', 'ini']","['aku', 'kurang', 'sehat', 'akhirakhir']"
Greeting,Saya merasa tidak enak badan hari ini,"['saya', 'rasa', 'tidak', 'enak', 'badan', 'hari', 'ini']","['rasa', 'enak', 'badan', 'hari']"
Greeting,Kondisi tubuh saya kurang enak badan,"['kondisi', 'tubuh', 'saya', 'kurang', 'enak', 'badan']","['kondisi', 'tubuh', 'kurang', 'enak', 'badan']"
Greeting,Aku merasa kurang sehat dan tidak enak badan,"['aku', 'rasa', 'kurang', 'sehat', 'dan', 'tidak', 'enak', 'badan']","['aku', 'rasa', 'kurang', 'sehat', 'tidak', 'enak', 'badan']"
Greeting,Badanku terasa tidak nyaman dan kurang enak,"['badan', 'asa', 'tidak', 'nyaman', 'dan', 'kurang', 'enak']","['badan', 'asa', 'nyaman', 'kurang', 'enak']"
Greeting,Saat ini aku merasa sakit,"['saat', 'ini', 'aku', 'rasa', 'sakit']","['ini', 'aku', 'rasa', 'sakit']"
Greeting,Aku merasakan rasa sakit pada tubuhku,"['aku', 'rasa', 'rasa', 'sakit', 'pada', 'tubuh']","['aku', 'rasa', 'rasa', 'sakit', 'tubuh']"
Greeting,Saya sedang mengalami sakit,"['saya', 'sedang', 'alami', 'sakit']","['sedang', 'alami', 'sakit']"
Greeting,Badan saya sedang tidak sehat,"['badan', 'saya', 'sedang', 'tidak', 'sehat']","['badan', 'sedang', 'sehat']"
Greeting,Aku merasa tidak sehat dan kurang baik saat ini,"['aku', 'rasa', 'tidak', 'sehat', 'dan', 'kurang', 'baik', 'saat', 'ini']","['aku', 'rasa', 'sehat', 'kurang', 'baik', 'ini']"
Greeting,Saat ini saya merasa kurang baik,"['saat', 'ini', 'saya', 'rasa', 'kurang', 'baik']","['ini', 'rasa', 'kurang', 'baik']"
Greeting,Kesehatan saya terganggu dan tidak merasa sehat,"['sehat', 'saya', 'ganggu', 'dan', 'tidak', 'rasa', 'sehat']","['sehat', 'ganggu', 'tidak', 'rasa', 'sehat']"
Greeting,Saya merasa tidak enak badan dan tubuhku tidak nyaman,"['saya', 'rasa', 'tidak', 'enak', 'badan', 'dan', 'tubuh', 'tidak', 'nyaman']","['rasa', 'enak', 'badan', 'tubuh', 'nyaman']"
Greeting,Lagi tidak fit ini badanku,"['lagi', 'tidak', 'fit', 'ini', 'badan']","['tidak', 'fit', 'badan']"
Greeting,Kondisi kesehatan saya sedang tidak baik,"['kondisi', 'sehat', 'saya', 'sedang', 'tidak', 'baik']","['kondisi', 'sehat', 'sedang', 'baik']"
Greeting,Aku merasa kurang sehat belakangan ini,"['aku', 'rasa', 'kurang', 'sehat', 'belakang', 'ini']","['aku', 'rasa', 'kurang', 'sehat', 'belakang']"
Greeting,Saya sedang mengalami ketidaknyamanan fisik,"['saya', 'sedang', 'alami', 'ketidaknyamanan', 'fisik']","['sedang', 'alami', 'ketidaknyamanan', 'fisik']"
Greeting,Badanku terasa sakit dan tidak enak,"['badan', 'asa', 'sakit', 'dan', 'tidak', 'enak']","['badan', 'asa', 'sakit', 'tidak', 'enak']"
Greeting,Aku kurang baik dan merasa tidak enak badan,"['aku', 'kurang', 'baik', 'dan', 'rasa', 'tidak', 'enak', 'badan']","['aku', 'kurang', 'baik', 'rasa', 'enak', 'badan']"
Greeting,Saat ini aku sedang merasakan ketidaksehatan,"['saat', 'ini', 'aku', 'sedang', 'rasa', 'ketidaksehatan']","['ini', 'aku', 'sedang', 'rasa', 'ketidaksehatan']"
Greeting,Kesehatan saya terasa kurang baik dan badan tidak enak,"['sehat', 'saya', 'asa', 'kurang', 'baik', 'dan', 'badan', 'tidak', 'enak']","['sehat', 'asa', 'kurang', 'baik', 'badan', 'enak']"
Greeting,Badan ku terasa sakit dan tidak nyaman,"['badan', 'ku', 'asa', 'sakit', 'dan', 'tidak', 'nyaman']","['badan', 'ku', 'asa', 'sakit', 'tidak', 'nyaman']"
Greeting,Aku merasa kurang sehat akhirakhir ini,"['aku', 'rasa', 'kurang', 'sehat', 'akhirakhir', 'ini']","['aku', 'rasa', 'kurang', 'sehat', 'akhirakhir']"
Greeting,Badan ku sedang dalam keadaan tidak baik,"['badan', 'ku', 'sedang', 'dalam', 'ada', 'tidak', 'baik']","['badan', 'ku', 'sedang', 'ada', 'baik']"
Greeting,Saya merasakan ketidaknyamanan pada tubuh,"['saya', 'rasa', 'ketidaknyamanan', 'pada', 'tubuh']","['rasa', 'ketidaknyamanan', 'tubuh']"
Greeting,Saat ini kondisi tubuhku tidak baik,"['saat', 'ini', 'kondisi', 'tubuh', 'tidak', 'baik']","['ini', 'kondisi', 'tubuh', 'baik']"
Greeting,Badan ku terasa lemah dan tidak enak,"['badan', 'ku', 'asa', 'lemah', 'dan', 'tidak', 'enak']","['badan', 'ku', 'asa', 'lemah', 'tidak', 'enak']"
Greeting,Aku sedang merasakan ketidaksehatan,"['aku', 'sedang', 'rasa', 'ketidaksehatan']","['aku', 'sedang', 'rasa', 'ketidaksehatan']"
Greeting,Saya sedang dalam kondisi kurang baik dan tidak enak badan,"['saya', 'sedang', 'dalam', 'kondisi', 'kurang', 'baik', 'dan', 'tidak', 'enak', 'badan']","['sedang', 'kondisi', 'kurang', 'baik', 'tidak', 'enak', 'badan']"
Greeting,Saat ini aku kurang sehat dan badan terasa tidak enak,"['saat', 'ini', 'aku', 'kurang', 'sehat', 'dan', 'badan', 'asa', 'tidak', 'enak']","['ini', 'aku', 'kurang', 'sehat', 'badan', 'asa', 'enak']"
Greeting,Kesehatan saya sedang menurun dan tidak merasa baik,"['sehat', 'saya', 'sedang', 'turun', 'dan', 'tidak', 'rasa', 'baik']","['sehat', 'sedang', 'turun', 'tidak', 'rasa', 'baik']"
Greeting,Saat ini kondisi kesehatan saya kurang baik dan badan tidak nyaman,"['saat', 'ini', 'kondisi', 'sehat', 'saya', 'kurang', 'baik', 'dan', 'badan', 'tidak', 'nyaman']","['ini', 'kondisi', 'sehat', 'kurang', 'baik', 'badan', 'nyaman']"
Greeting,Badan ku merasa kurang baik dan sedang sakit,"['badan', 'ku', 'rasa', 'kurang', 'baik', 'dan', 'sedang', 'sakit']","['badan', 'ku', 'rasa', 'kurang', 'baik', 'sedang', 'sakit']"
Greeting,Aku merasa kurang enak badan dan sedang tidak sehat,"['aku', 'rasa', 'kurang', 'enak', 'badan', 'dan', 'sedang', 'tidak', 'sehat']","['aku', 'rasa', 'kurang', 'enak', 'badan', 'sedang', 'sehat']"
Greeting,Kondisi kesehatan saya tidak baik dan badan terasa tidak enak,"['kondisi', 'sehat', 'saya', 'tidak', 'baik', 'dan', 'badan', 'asa', 'tidak', 'enak']","['kondisi', 'sehat', 'baik', 'badan', 'asa', 'tidak', 'enak']"
Greeting,Saat ini tubuhku sedang tidak sehat dan kurang nyaman,"['saat', 'ini', 'tubuh', 'sedang', 'tidak', 'sehat', 'dan', 'kurang', 'nyaman']","['ini', 'tubuh', 'sedang', 'sehat', 'kurang', 'nyaman']"
Greeting,Badan ku merasakan rasa sakit dan ketidaknyamanan,"['badan', 'ku', 'rasa', 'rasa', 'sakit', 'dan', 'ketidaknyamanan']","['badan', 'ku', 'rasa', 'rasa', 'sakit', 'ketidaknyamanan']"
Greeting,Aku kurang enak badan dan tidak merasa baik,"['aku', 'kurang', 'enak', 'badan', 'dan', 'tidak', 'rasa', 'baik']","['aku', 'kurang', 'enak', 'badan', 'tidak', 'rasa', 'baik']"
Greeting,Saat ini aku merasa kurang baik dan tubuh terasa tidak nyaman,"['saat', 'ini', 'aku', 'rasa', 'kurang', 'baik', 'dan', 'tubuh', 'asa', 'tidak', 'nyaman']","['ini', 'aku', 'rasa', 'kurang', 'baik', 'tubuh', 'asa', 'nyaman']"
Greeting,Kondisi tubuhku tidak enak dan merasakan ketidaksehatan,"['kondisi', 'tubuh', 'tidak', 'enak', 'dan', 'rasa', 'ketidaksehatan']","['kondisi', 'tubuh', 'enak', 'rasa', 'ketidaksehatan']"
Greeting,Badan ku merasa sakit dan tidak enak untuk saat ini,"['badan', 'ku', 'rasa', 'sakit', 'dan', 'tidak', 'enak', 'untuk', 'saat', 'ini']","['badan', 'ku', 'rasa', 'sakit', 'tidak', 'enak', 'saat']"
info_tensibot,siapa yang membuat tensibot,"['siapa', 'yang', 'buat', 'tensibot']","['siapa', 'buat', 'tensibot']"
info_tensibot,Pembuat tensibot siapa,"['buat', 'tensibot', 'siapa']","['buat', 'tensibot', 'siapa']"
info_tensibot,Siapakah yang menciptakan tensibot,"['siapa', 'yang', 'cipta', 'tensibot']","['siapa', 'cipta', 'tensibot']"
info_tensibot,siapa yang menciptakan tensibot,"['siapa', 'yang', 'cipta', 'tensibot']","['siapa', 'cipta', 'tensibot']"
info_tensibot,Siapa pencipta tensibot,"['siapa', 'cipta', 'tensibot']","['siapa', 'cipta', 'tensibot']"
info_tensibot,Siapa yang membuat tensibot ini,"['siapa', 'yang', 'buat', 'tensibot', 'ini']","['siapa', 'buat', 'tensibot']"
info_tensibot,Siapa yang bikin tensibot,"['siapa', 'yang', 'bikin', 'tensibot']","['siapa', 'bikin', 'tensibot']"
info_tensibot,Siapa yang ngebikin tensibot,"['siapa', 'yang', 'ngebikin', 'tensibot']","['siapa', 'ngebikin', 'tensibot']"
info_tensibot,siapa yang mengembangkan tensibot,"['siapa', 'yang', 'kembang', 'tensibot']","['siapa', 'kembang', 'tensibot']"
info_tensibot,tensibot dibuat oleh siapa,"['tensibot', 'buat', 'oleh', 'siapa']","['tensibot', 'buat', 'siapa']"
info_tensibot,saya ingin tahu siapa yang membuat tensibot,"['saya', 'ingin', 'tahu', 'siapa', 'yang', 'buat', 'tensibot']","['ingin', 'tahu', 'siapa', 'buat', 'tensibot']"
info_tensibot,aku penasaran siapa yang membuat tensibot,"['aku', 'penasaran', 'siapa', 'yang', 'buat', 'tensibot']","['aku', 'penasaran', 'siapa', 'buat', 'tensibot']"
info_tensibot,aku ingin tahu siapa yang membuat tensibot,"['aku', 'ingin', 'tahu', 'siapa', 'yang', 'buat', 'tensibot']","['aku', 'tahu', 'siapa', 'buat', 'tensibot']"
info_tensibot,tensibot dibuat oleh siapa,"['tensibot', 'buat', 'oleh', 'siapa']","['tensibot', 'buat', 'siapa']"
info_tensibot,yang buat tensibot siapa iya,"['yang', 'buat', 'tensibot', 'siapa', 'iya']","['buat', 'tensibot', 'siapa', 'iya']"
info_tensibot,siapa sih yang buat tensibot,"['siapa', 'sih', 'yang', 'buat', 'tensibot']","['siapa', 'sih', 'buat', 'tensibot']"
info_tensibot,siapa yang buat chatbot ini,"['siapa', 'yang', 'buat', 'chatbot', 'ini']","['siapa', 'buat', 'chatbot']"
